"n_SportID","c_Sport","c_SportShort","n_DateLocal","c_DateLocal","d_DateLocal","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","n_NrOfEvents","n_NrOfPhases","n_NrOfMatches","n_MedalsGold","n_MedalsSilver","n_MedalsBronze"
212,"Curling","CUR",20220217,"2022-02-17T00:00:00","/Date(1645056000000+0000)/","2022-02-17T09:05:00","2022-02-17T01:05:00","2022-02-17T20:05:00","2022-02-17T12:05:00",2,3,10,0,0,0
212,"Curling","CUR",20220218,"2022-02-18T00:00:00","/Date(1645142400000+0000)/","2022-02-18T14:05:00","2022-02-18T06:05:00","2022-02-18T20:05:00","2022-02-18T12:05:00",2,2,3,0,0,1
212,"Curling","CUR",20220219,"2022-02-19T00:00:00","/Date(1645228800000+0000)/","2022-02-19T14:50:00","2022-02-19T06:50:00","2022-02-19T20:05:00","2022-02-19T12:05:00",2,2,2,1,1,1
212,"Curling","CUR",20220220,"2022-02-20T00:00:00","/Date(1645315200000+0000)/","2022-02-20T09:05:00","2022-02-20T01:05:00","2022-02-20T09:05:00","2022-02-20T01:05:00",1,1,1,1,1,0
217,"Figure Skating","FSK",20220202,"2022-02-02T00:00:00","/Date(1643760000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
217,"Figure Skating","FSK",20220203,"2022-02-03T00:00:00","/Date(1643846400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
217,"Figure Skating","FSK",20220204,"2022-02-04T00:00:00","/Date(1643932800000+0000)/","2022-02-04T09:55:00","2022-02-04T01:55:00","2022-02-04T13:15:00","2022-02-04T05:15:00",1,3,0,0,0,0
217,"Figure Skating","FSK",20220205,"2022-02-05T00:00:00","/Date(1644019200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
217,"Figure Skating","FSK",20220206,"2022-02-06T00:00:00","/Date(1644105600000+0000)/","2022-02-06T09:30:00","2022-02-06T01:30:00","2022-02-06T11:50:00","2022-02-06T03:50:00",1,2,0,0,0,0
217,"Figure Skating","FSK",20220207,"2022-02-07T00:00:00","/Date(1644192000000+0000)/","2022-02-07T09:15:00","2022-02-07T01:15:00","2022-02-07T11:35:00","2022-02-07T03:35:00",1,3,0,1,1,1
217,"Figure Skating","FSK",20220208,"2022-02-08T00:00:00","/Date(1644278400000+0000)/","2022-02-08T09:15:00","2022-02-08T01:15:00","2022-02-08T09:15:00","2022-02-08T01:15:00",1,1,0,0,0,0
217,"Figure Skating","FSK",20220209,"2022-02-09T00:00:00","/Date(1644364800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
217,"Figure Skating","FSK",20220210,"2022-02-10T00:00:00","/Date(1644451200000+0000)/","2022-02-10T09:30:00","2022-02-10T01:30:00","2022-02-10T09:30:00","2022-02-10T01:30:00",1,1,0,1,1,1
217,"Figure Skating","FSK",20220211,"2022-02-11T00:00:00","/Date(1644537600000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
217,"Figure Skating","FSK",20220212,"2022-02-12T00:00:00","/Date(1644624000000+0000)/","2022-02-12T19:00:00","2022-02-12T11:00:00","2022-02-12T19:00:00","2022-02-12T11:00:00",1,1,0,0,0,0
217,"Figure Skating","FSK",20220213,"2022-02-13T00:00:00","/Date(1644710400000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
