"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1555617,"MALSINER Jessica","MALSINER J","Jessica","Malsiner","4", 4,    6, 2210,Italy,ITA,30,30,"30","62.0","62.0", 62000,"Q","76.5",TRUE,FALSE,1518048004,"456682:48:10",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1135360,"DONG Bing","DONG B","Bing","Dong","6", 6,   26, 2770,China,CHN,31,31,"31","57.3","57.3", 57300,NA,"73.0",TRUE,FALSE,1518048006,"456682:49:57",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1020413,"RAUTIONAHO Jenny","RAUTIONAHO J","Jenny","Rautionaho","11",11,  161, 2237,Finland,FIN,32,32,"32","48.5","48.5", 48500,NA,"66.5",TRUE,FALSE,1518048011,"456682:57:03",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1555634,"ULRICHOVA Klara","ULRICHOVA K","Klara","Ulrichova","5", 5,   17, 2240,Czech Republic,CZE,33,33,"33","48.2","48.2", 48200,NA,"70.5",TRUE,FALSE,1518048005,"456682:49:09",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 994187,"CLAIR Julia","CLAIR J","Julia","Clair","12",12,  144, 2202,France,FRA,34,34,"34","43.3","43.3", 43300,NA,"64.0",TRUE,FALSE,1518048012,"456682:58:11",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1458702,"RAJDA Kinga","RAJDA K","Kinga","Rajda","8", 8,  150, 2214,Poland,POL,35,35,"35","40.9","40.9", 40900,NA,"69.0",TRUE,FALSE,1518048008,"456682:52:48",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,2070851,"KONDERLA Nicole","KONDERLA N","Nicole","Konderla","9", 9,  150, 2214,Poland,POL,36,36,"36","37.8","37.8", 37800,NA,"64.0",TRUE,FALSE,1518048009,"456682:53:40",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1555227,"HOFFMANN Anna","HOFFMANN A","Anna","Hoffmann","1", 1,    5, 2209,United States,USA,37,37,"37","36.2","36.2", 36200,NA,"64.5",TRUE,FALSE,1518048001,"456682:45:06",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,2262664,"PENG Qingyue","PENG Q","Qingyue","Peng","3", 3,   26, 2770,China,CHN,38,38,"38","31.3","31.3", 31300,NA,"63.5",TRUE,FALSE,1518048003,"456682:46:53",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,2078509,"LOUTITT Alexandria","LOUTITT A","Alexandria","Loutitt","16",16,  159, 2231,Canada,CAN,NA,39,NA,"DSQ","DSQ",NA,NA,NA,TRUE,FALSE,1518048016,"456683:04:27",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final","DSQ"
1,1555912,"SORSCHAG Sophie","SORSCHAG S","Sophie","Sorschag","10",10,  151, 2219,Austria,AUT,NA,40,NA,"DSQ","DSQ",NA,NA,NA,TRUE,FALSE,1518048010,"456682:56:03",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final","DSQ"
